Subfolder,Cluster
id0_0000.mp4_243,0
id0_0001.mp4_119,0
id0_0002.mp4_321,0
id0_0003.mp4_38,0
id0_0004.mp4_287,0
id0_0005.mp4_205,0
id0_0006.mp4_122,0
id0_0007.mp4_285,0
id0_0008.mp4_110,0
id0_id16_0000.mp4_421,0
id0_id16_0001.mp4_279,0
id0_id16_0002.mp4_227,0
id0_id16_0003.mp4_303,0
id0_id16_0004.mp4_149,0
id0_id16_0005.mp4_126,0
id0_id16_0006.mp4_461,0
id0_id16_0007.mp4_67,0
id0_id16_0008.mp4_82,0
id0_id16_0009.mp4_231,0
id0_id17_0000.mp4_67,0
id0_id17_0001.mp4_144,0
id0_id17_0002.mp4_269,0
id0_id17_0003.mp4_52,0
id0_id17_0005.mp4_280,0
id0_id17_0006.mp4_165,0
id0_id17_0007.mp4_367,0
id0_id17_0009.mp4_392,0
id0_id1_0000.mp4_320,0
id0_id1_0001.mp4_164,0
id0_id1_0002.mp4_29,0
id0_id1_0003.mp4_317,0
id0_id1_0005.mp4_200,0
id0_id1_0006.mp4_396,0
id0_id1_0007.mp4_403,0
id0_id1_0009.mp4_124,0
id0_id2_0000.mp4_32,0
id0_id2_0001.mp4_185,0
id0_id2_0002.mp4_328,0
id0_id2_0003.mp4_194,0
id0_id2_0004.mp4_13,0
id0_id2_0005.mp4_380,0
id0_id2_0006.mp4_248,0
id0_id2_0007.mp4_450,0
id0_id2_0008.mp4_201,0
id0_id2_0009.mp4_144,0
id0_id3_0000.mp4_125,0
id0_id3_0001.mp4_3,0
id0_id3_0002.mp4_293,0
id0_id3_0003.mp4_253,0
id0_id3_0004.mp4_104,0
id0_id3_0005.mp4_422,0
id0_id3_0006.mp4_157,0
id0_id3_0007.mp4_136,0
id0_id3_0008.mp4_113,0
id0_id3_0009.mp4_28,0
id0_id4_0000.mp4_82,0
id0_id4_0001.mp4_152,0
id0_id4_0002.mp4_336,0
id0_id4_0003.mp4_499,0
id0_id4_0004.mp4_276,0
id0_id4_0005.mp4_116,0
id0_id4_0006.mp4_482,0
id0_id4_0009.mp4_348,0
id0_id6_0000.mp4_385,0
id0_id6_0001.mp4_216,0
id0_id6_0002.mp4_152,0
id0_id6_0006.mp4_154,0
id0_id6_0007.mp4_327,0
id0_id6_0009.mp4_429,0
id0_id9_0000.mp4_337,0
id0_id9_0001.mp4_5,0
id0_id9_0002.mp4_171,0
id0_id9_0003.mp4_165,0
id0_id9_0005.mp4_374,0
id0_id9_0006.mp4_360,0
id0_id9_0007.mp4_47,0
id0_id9_0008.mp4_144,0
id0_id9_0009.mp4_253,0
id10_0000.mp4_133,0
id10_0001.mp4_113,0
id10_0002.mp4_147,0
id10_0003.mp4_172,0
id10_0004.mp4_411,0
id10_0005.mp4_49,0
id10_0006.mp4_23,0
id10_0007.mp4_427,0
id10_0008.mp4_61,0
id10_0009.mp4_382,0
id10_id11_0001.mp4_8,0
id10_id11_0002.mp4_305,0
id10_id11_0003.mp4_153,0
id10_id11_0004.mp4_106,0
id10_id11_0005.mp4_195,0
id10_id11_0006.mp4_135,0
id10_id11_0007.mp4_27,0
id10_id11_0008.mp4_303,0
id10_id12_0001.mp4_48,0
id10_id12_0002.mp4_77,0
id10_id12_0003.mp4_91,0
id10_id12_0004.mp4_469,0
id10_id12_0005.mp4_284,0
id10_id12_0006.mp4_51,0
id10_id12_0007.mp4_43,0
id10_id12_0008.mp4_6,0
id10_id13_0001.mp4_54,0
id10_id13_0002.mp4_46,0
id10_id13_0003.mp4_67,0
id10_id13_0004.mp4_474,0
id10_id13_0005.mp4_189,0
id10_id13_0006.mp4_47,0
id10_id13_0007.mp4_238,0
id10_id13_0008.mp4_120,0
id10_id7_0001.mp4_63,0
id10_id7_0002.mp4_276,0
id10_id7_0003.mp4_119,0
id10_id7_0004.mp4_94,0
id10_id7_0005.mp4_15,0
id10_id7_0006.mp4_30,0
id10_id7_0007.mp4_351,0
id10_id7_0008.mp4_348,0
id10_id7_0009.mp4_214,0
id11_0000.mp4_140,0
id11_0001.mp4_208,0
id11_0002.mp4_195,0
id11_0003.mp4_212,0
id11_0004.mp4_296,0
id11_0005.mp4_259,0
id11_0006.mp4_151,0
id11_0007.mp4_76,0
id11_0008.mp4_226,0
id11_0009.mp4_171,0
id11_0010.mp4_160,0
id11_id7_0000.mp4_167,0
id11_id7_0001.mp4_285,0
id11_id7_0002.mp4_164,0
id11_id7_0003.mp4_206,0
id11_id7_0004.mp4_210,0
id11_id7_0005.mp4_294,0
id11_id7_0006.mp4_189,0
id11_id7_0007.mp4_61,0
id11_id7_0008.mp4_318,0
id11_id7_0009.mp4_272,0
id11_id7_0010.mp4_222,0
id12_0000.mp4_109,0
id12_0001.mp4_165,0
id12_0002.mp4_244,0
id12_0003.mp4_241,0
id12_0004.mp4_316,0
id12_0005.mp4_288,0
id12_0006.mp4_254,0
id12_id10_0001.mp4_241,0
id12_id10_0002.mp4_314,0
id12_id10_0004.mp4_124,0
id12_id10_0005.mp4_188,0
id12_id10_0006.mp4_195,0
id12_id7_0000.mp4_186,0
id12_id7_0001.mp4_5,0
id12_id7_0002.mp4_283,0
id12_id7_0004.mp4_253,0
id12_id7_0005.mp4_13,0
id12_id7_0006.mp4_219,0
id13_0000.mp4_209,0
id13_0001.mp4_147,0
id13_0002.mp4_250,0
id13_0003.mp4_284,0
id13_0004.mp4_288,0
id13_0005.mp4_162,0
id13_0006.mp4_58,0
id13_0007.mp4_217,0
id13_0008.mp4_407,0
id13_0009.mp4_411,0
id13_0010.mp4_295,0
id13_0011.mp4_307,0
id13_0012.mp4_286,0
id13_0013.mp4_21,0
id13_0014.mp4_73,0
id13_0015.mp4_2,0
id13_id10_0000.mp4_27,0
id13_id10_0001.mp4_331,0
id13_id10_0003.mp4_79,0
id13_id10_0004.mp4_222,0
id13_id10_0005.mp4_256,0
id13_id10_0007.mp4_254,0
id13_id10_0008.mp4_255,0
id13_id10_0011.mp4_68,0
id13_id10_0012.mp4_298,0
id13_id10_0014.mp4_123,0
id13_id10_0015.mp4_255,0
id13_id7_0000.mp4_282,0
id13_id7_0001.mp4_147,0
id13_id7_0002.mp4_323,0
id13_id7_0003.mp4_320,0
id13_id7_0004.mp4_249,0
id13_id7_0005.mp4_109,0
id13_id7_0007.mp4_312,0
id13_id7_0008.mp4_371,0
